Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,lambda,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym,total_deaths_mean,total_deaths_variance
41,0.275200129,0.752666138,56.95634031,0.681120519,0.53742763,0.613170087,1,0.000705199,8.665157411,0.615314565,5.863583657,1.72480615,9.911753656,3.641398518,10000,0.903296578,53031.343,54892.745351
42,0.043604797,0.428329346,54.11274804,0.972965929,0.785024652,0.761985596,1,0.000124841,6.307524466,0.711885976,16.1792022,19.49569451,13.71162229,14.82306369,10000,0.712227564,1453.229,1485.2225589999998
43,0.035949327,0.675160921,34.51421112,0.220664523,0.025292428,0.471342868,1,0.000190371,9.540373893,0.641955726,17.7099114,27.84222497,2.459567443,4.563213132,10000,0.607729309,4338.393,6256.714550999999
44,0.266173847,0.549323271,72.37812587,0.608228814,0.949925554,0.967260599,1,0.000639196,2.983876927,0.17596742,15.14305821,17.1963354,2.227107446,13.64177828,10000,0.477036429,105809.505,93899.715975
45,0.326147272,0.725563859,3.85859359,0.878915191,0.246044419,0.871568305,1,0.000743974,8.107673607,0.812133746,11.53981436,14.48171984,0.225757153,23.07030702,10000,0.971835614,93919.344,87043.58566399998
46,0.061217531,0.359893926,30.99409771,0.47794833,0.705629759,0.535679993,1,0.000943232,2.765570418,0.772538851,1.287643359,17.90242375,12.6159913,1.863486991,10000,0.125665329,2156.348,2221.650896
47,0.313152906,0.222812974,49.91585341,0.145059063,0.198845408,0.773717108,1,0.000912187,3.485444289,0.3993539,5.536928763,20.92743754,3.421457513,18.26980467,10000,0.492388159,84801.159,74759.727719
48,0.669300907,0.446554244,6.304439936,0.159229326,0.340324523,0.519336819,1,0.000995273,11.65523927,0.374999844,3.378458371,20.03624887,8.791824325,33.67164961,10000,0.122721411,57003.248,49988.156496
49,0.850046252,0.084780345,8.395313887,0.456901859,0.600154177,0.376525297,1,3.95e-05,11.20332152,0.128281954,14.61488844,23.85826157,6.269457255,29.07087035,10000,0.136848717,41208.514,40181.779804000005
50,0.878110769,0.844409019,21.54614475,0.735525164,0.311225029,0.803902905,1,8.34e-05,1.704168293,0.573973149,3.508764873,15.491994,12.7891605,34.82407323,10000,0.159385314,88690.213,94827.179631
51,0.526730515,0.635094141,50.74456216,0.013490597,0.214195037,0.93636055,1,0.000945651,9.039031315,0.174570743,8.252924861,6.594963945,8.926759937,7.624567642,10000,0.400784997,102687.953,90520.924791
52,0.740428924,0.28860742,9.433618376,0.11920153,0.546105097,0.898181667,1,0.000453853,3.400205859,0.330684829,10.46824672,4.550387387,3.975990376,31.89061704,10000,0.912675486,98712.342,97234.389036
53,0.776582654,0.909787344,65.85861652,0.711108079,0.995931658,0.026577249,1,0.000336788,1.986193988,0.223966583,0.527598668,3.154309208,9.139745467,33.00346431,10000,0.008040841,44.474,45.777324
54,0.442245226,0.551601865,58.38203783,0.251040885,0.523920749,0.861244498,1,0.00012697,11.08672216,0.076116381,2.80077427,26.90852444,12.03195726,13.23935405,10000,0.673342734,94142.541,85466.76031900001
55,0.148821531,0.401128648,69.46248541,0.65929584,0.076738906,0.835271045,1,0.000525561,7.701764211,0.64640202,19.76039646,1.504955162,10.26493282,33.85657971,10000,0.586697305,87874.907,80948.796351
56,0.725033646,0.21086375,4.034381678,0.407297115,0.872460426,0.943231787,1,0.000794872,8.187630092,0.22634851,17.04818717,27.3066149,7.983501669,6.548008882,10000,0.225169345,103499.803,89536.892191
